Food,Scientific,Group,SubGroup
Cherry,Solanum lycopersicum var. cerasiforme,vegetable,Fruit vegetable
Eggplant,Solanum melongena,vegetable,Fruit vegetable
Potato,Solanum tuberosum,vegetable,Tubers
Spinach,Spinacia oleracea,vegetable,Leaf vegetable
Celeriac,Apium graveolens var. rapaceum,vegetable,Root vegetable
Celery,Apium graveolens var. dulce,vegetable,Stalk vegetable
onion,Allium cepa var. cepa,vegetable,Onion-family vegetable
Pepper ,Capsicum baccatum var. baccatum,vegetable,Fruit vegetable
chard,Beta vulgaris ssp. cicla,vegetable,Leaf vegetable
cabbage,Brassica oleracea var. costata,vegetable,Cabbages
Shallot,Allium ascalonicum,vegetable,Onion-family vegetable
Carrot,Daucus carota ssp. sativus,vegetable,Root vegetable
Chicory,Cichorium intybus var. foliosum,vegetable,Leaf vegetable
Komatsuna,Brassica rapa var. perviridis,vegetable,Cabbages
Chicory,Cichorium intybus var. sativum,vegetable,Root vegetable
Kai-lan,Brassica oleracea var. alboglabra,vegetable,Cabbages
Oxheart,Brassica oleracea var. conica,vegetable,Cabbages
radish,Raphanus sativus var. longipinnatus,vegetable,Root vegetable
beetroot,Beta vulgaris var. rubra,vegetable,Root vegetable
Arrowhead,Sagittaria latifolia,vegetable,Tubers
Arrowroot,Maranta arundinacea,vegetable,Tubers
Bamboo,Phyllostachys edulis,vegetable,Shoot vegetable
Rapini,Brassica ruvo,vegetable,Cabbages
Cardoon,Cynara cardunculus,vegetable,Shoot vegetable
Carob,Ceratonia siliqua,vegetable,Other vegetable
Cassava,Manihot esculenta,vegetable,Tubers
broccoli,Brassica alboglabra,vegetable,Cabbages
chestnut,Eleocharis dulcis,vegetable,Other vegetable
Groundcherry,Physalis,vegetable,Fruit vegetable
Horseradish tree,Moringa oleifera,vegetable,Other vegetable
artichoke,Helianthus tuberosus,vegetable,Tubers
Jute,Corchorus olitorius,vegetable,Leaf vegetable
Kale,Brassica napus var. pabularia,vegetable,Cabbages
Lambsquarter,Chenopodium album,vegetable,Leaf vegetable
Wild leek,Allium ampeloprasum,vegetable,Onion-family vegetable
lotus,Nelumbo nucifera,vegetable,Other vegetable
spinach,Basella alba,vegetable,Leaf vegetable
sweetvetch,Hedysarum alpinum,vegetable,Root vegetable
yam,Dioscorea pentaphylla,vegetable,Tubers
Nopal,Opuntia cochenillifera,vegetable,Other vegetable
Okra,Abelmoschus esculentus,vegetable,Other vegetable
Prairie turnip,Pediomelum esculentum,vegetable,Root vegetable
salsify,Tragopogon porrifolius,vegetable,Root vegetable
Sesbania flower,Sesbania bispinosa,vegetable,Other vegetable
Taro,Colocasia esculenta,vegetable,Root vegetable
groundcherry,Physalis philadelphica var. immaculata,vegetable,Fruit vegetable
Yam,Dioscorea,vegetable,Tubers
Jicama,Pachyrhizus erosus,vegetable,Root vegetable
Yautia,Xanthosoma sagittifolium,vegetable,Leaf vegetable
Jew's ear,Auricularia auricula-judae,vegetable,Mushrooms
mushroom,Agaricus bisporus,vegetable,Mushrooms
Shiitake,Lentinus edodes,vegetable,Mushrooms
Enokitake,Flammulina velutipes,vegetable,Mushrooms
palm,NULL,vegetable,Other vegetable
Morchella,Morchellaceae,vegetable,Mushrooms
Cabbage,Brassica oleracea var. capitata,vegetable,Cabbages
Mushroom,NULL,vegetable,Mushrooms
Brassicas,NULL,vegetable,Brassicas
Root,NULL,vegetable,Root vegetable
lettuce,Lactuca sativa L. var. longifolia,vegetable,vegetable
